DATE,CPIAUCNS
1913-01-01,9.8833333333333333
1914-01-01,10.0166666666666667
1915-01-01,10.1083333333333333
1916-01-01,10.8833333333333333
1917-01-01,12.8250000000000000
1918-01-01,15.0416666666666667
1919-01-01,17.3333333333333333
1920-01-01,20.0416666666666667
1921-01-01,17.8500000000000000
1922-01-01,16.7500000000000000
1923-01-01,17.0500000000000000
1924-01-01,17.1250000000000000
1925-01-01,17.5416666666666667
1926-01-01,17.7000000000000000
1927-01-01,17.3583333333333333
1928-01-01,17.1583333333333333
1929-01-01,17.1583333333333333
1930-01-01,16.7000000000000000
1931-01-01,15.2083333333333333
1932-01-01,13.6416666666666667
1933-01-01,12.9333333333333333
1934-01-01,13.3833333333333333
1935-01-01,13.7250000000000000
1936-01-01,13.8666666666666667
1937-01-01,14.3833333333333333
1938-01-01,14.0916666666666667
1939-01-01,13.9083333333333333
1940-01-01,14.0083333333333333
1941-01-01,14.7250000000000000
1942-01-01,16.3333333333333333
1943-01-01,17.3083333333333333
1944-01-01,17.5916666666666667
1945-01-01,17.9916666666666667
1946-01-01,19.5166666666666667
1947-01-01,22.3250000000000000
1948-01-01,24.0416666666666667
1949-01-01,23.8083333333333333
1950-01-01,24.0666666666666667
1951-01-01,25.9583333333333333
1952-01-01,26.5500000000000000
1953-01-01,26.7666666666666667
1954-01-01,26.8500000000000000
1955-01-01,26.7750000000000000
1956-01-01,27.1833333333333333
1957-01-01,28.0916666666666667
1958-01-01,28.8583333333333333
1959-01-01,29.1500000000000000
1960-01-01,29.5750000000000000
1961-01-01,29.8916666666666667
1962-01-01,30.2500000000000000
1963-01-01,30.6250000000000000
1964-01-01,31.0166666666666667
1965-01-01,31.5083333333333333
1966-01-01,32.4583333333333333
1967-01-01,33.3583333333333333
1968-01-01,34.7833333333333333
1969-01-01,36.6833333333333333
1970-01-01,38.8250000000000000
1971-01-01,40.4916666666666667
1972-01-01,41.8166666666666667
1973-01-01,44.4000000000000000
1974-01-01,49.3083333333333333
1975-01-01,53.8166666666666667
1976-01-01,56.9083333333333333
1977-01-01,60.6083333333333333
1978-01-01,65.2333333333333333
1979-01-01,72.5750000000000000
1980-01-01,82.4083333333333333
1981-01-01,90.9250000000000000
1982-01-01,96.5000000000000000
1983-01-01,99.6000000000000000
1984-01-01,103.8833333333333333
1985-01-01,107.5666666666666667
1986-01-01,109.6083333333333333
1987-01-01,113.6250000000000000
1988-01-01,118.2583333333333333
1989-01-01,123.9666666666666667
1990-01-01,130.6583333333333333
1991-01-01,136.1916666666666667
1992-01-01,140.3166666666666667
1993-01-01,144.4583333333333333
1994-01-01,148.2250000000000000
1995-01-01,152.3833333333333333
1996-01-01,156.8500000000000000
1997-01-01,160.5166666666666667
1998-01-01,163.0083333333333333
1999-01-01,166.5750000000000000
2000-01-01,172.2000000000000000
2001-01-01,177.0666666666666667
2002-01-01,179.8750000000000000
2003-01-01,183.9583333333333333
2004-01-01,188.8833333333333333
2005-01-01,195.2916666666666667
2006-01-01,201.5916666666666667
2007-01-01,207.3424166666666667
2008-01-01,215.3025000000000000
2009-01-01,214.5370000000000000
2010-01-01,218.0555000000000000
2011-01-01,224.9391666666666667
2012-01-01,229.5939166666666667
2013-01-01,232.9570833333333333
2014-01-01,236.7361666666666667
2015-01-01,237.0170000000000000
2016-01-01,240.0071666666666667
2017-01-01,245.1195833333333333
2018-01-01,251.1068333333333333
2019-01-01,255.6574166666666667
2020-01-01,258.8111666666666667
2021-01-01,262.231
